algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,16,diagonal,D10,c,9,200,0.00123,2048,5132288,64,1
naive,16,diagonal,D10,c,10,200,0.00123,2048,5132288,64,1
naive,16,diagonal,D10,c,11,200,0.0012315,2048,5132288,64,1
naive,16,diagonal,D10,c,12,200,0.001231,2048,5132288,64,1
naive,16,diagonal,D10,c,13,200,0.0012305,2048,5132288,64,1
naive,16,diagonal,D10,c,14,200,0.001231,2048,5132288,64,1
naive,16,diagonal,D10,c,15,200,0.0012775,2048,5132288,64,1
strassen,16,diagonal,D10,c,1,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,c,2,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D10,c,3,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,c,4,200,0.001236,2048,5132288,64,1
strassen,16,diagonal,D10,c,5,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D10,c,6,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D10,c,7,200,0.0015855,2048,5132288,64,1
strassen,16,diagonal,D10,c,8,200,0.0012605,2048,5132288,64,1
strassen,16,diagonal,D10,c,9,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D10,c,10,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D10,c,11,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D10,c,12,200,0.001236,2048,5132288,64,1
strassen,16,diagonal,D10,c,13,200,0.001262,2048,5132288,64,1
strassen,16,diagonal,D10,c,14,200,0.0012425,2048,5132288,64,1
strassen,16,diagonal,D10,c,15,200,0.001244,2048,5132288,64,1
naive,16,dispersa,D0,a,1,200,0.0012745,2048,5132288,64,1
naive,16,dispersa,D0,a,2,200,0.0012325,2048,5132288,64,1
naive,16,dispersa,D0,a,3,200,0.00126,2048,5132288,64,1
naive,16,dispersa,D0,a,4,200,0.0012315,2048,5132288,64,1
naive,16,dispersa,D0,a,5,200,0.00123,2048,5132288,64,1
naive,16,dispersa,D0,a,6,200,0.001232,2048,5132288,64,1
naive,16,dispersa,D0,a,7,200,0.001232,2048,5132288,64,1
naive,16,dispersa,D0,a,8,200,0.00125,2048,5132288,64,1
naive,16,dispersa,D0,a,9,200,0.001233,2048,5132288,64,1
naive,16,dispersa,D0,a,10,200,0.001234,2048,5132288,64,1
naive,16,dispersa,D0,a,11,200,0.0012325,2048,5132288,64,1
naive,16,dispersa,D0,a,12,200,0.001232,2048,5132288,64,1
naive,16,dispersa,D0,a,13,200,0.001232,2048,5132288,64,1
naive,16,dispersa,D0,a,14,200,0.0012325,2048,5132288,64,1
naive,16,dispersa,D0,a,15,200,0.0015775,2048,5132288,64,1
strassen,16,dispersa,D0,a,1,200,0.0012385,2048,5132288,64,1
strassen,16,dispersa,D0,a,2,200,0.0012415,2048,5132288,64,1
strassen,16,dispersa,D0,a,3,200,0.0012395,2048,5132288,64,1
strassen,16,dispersa,D0,a,4,200,0.0012375,2048,5132288,64,1
strassen,16,dispersa,D0,a,5,200,0.001237,2048,5132288,64,1
strassen,16,dispersa,D0,a,6,200,0.0012395,2048,5132288,64,1
strassen,16,dispersa,D0,a,7,200,0.001241,2048,5132288,64,1
strassen,16,dispersa,D0,a,8,200,0.001253,2048,5132288,64,1
strassen,16,dispersa,D0,a,9,200,0.0012375,2048,5132288,64,1
strassen,16,dispersa,D0,a,10,200,0.001237,2048,5132288,64,1
strassen,16,dispersa,D0,a,11,200,0.001238,2048,5132288,64,1
